# Hyperlimit Slow Performer History

Generated by `cargo bench --bench retained_fuzz`. Timings are best-of-five wall-clock probes of deterministic inputs shaped by the registered cargo-fuzz targets.

Latest run sampled 20000 deterministic fuzz cases. This table merges crate-local history by `family + target + input`, keeps each case's worst observed time, and retains the 1000 worst cases.

## Worst Performers

| Rank | Worst Time | Family | Target | Input |
| ---: | ---: | --- | --- | --- |
| 1 | 45.117 us | `cargo-fuzz` | `predicate_invariants` | `seed[532]` |
| 2 | 42.827 us | `cargo-fuzz` | `predicate_invariants` | `seed[531]` |
| 3 | 42.427 us | `cargo-fuzz` | `predicate_invariants` | `seed[5449]` |
| 4 | 41.177 us | `cargo-fuzz` | `predicate_invariants` | `seed[5448]` |
| 5 | 40.407 us | `cargo-fuzz` | `predicate_invariants` | `seed[5279]` |
| 6 | 40.218 us | `cargo-fuzz` | `predicate_invariants` | `seed[533]` |
| 7 | 39.798 us | `cargo-fuzz` | `predicate_invariants` | `seed[9730]` |
| 8 | 39.297 us | `cargo-fuzz` | `predicate_invariants` | `seed[991]` |
| 9 | 39.277 us | `cargo-fuzz` | `predicate_invariants` | `seed[1433]` |
| 10 | 39.017 us | `cargo-fuzz` | `predicate_invariants` | `seed[6445]` |
| 11 | 38.127 us | `cargo-fuzz` | `predicate_invariants` | `seed[1577]` |
| 12 | 38.087 us | `cargo-fuzz` | `predicate_invariants` | `seed[870]` |
| 13 | 37.998 us | `cargo-fuzz` | `predicate_invariants` | `seed[9038]` |
| 14 | 37.717 us | `cargo-fuzz` | `predicate_invariants` | `seed[913]` |
| 15 | 37.708 us | `cargo-fuzz` | `predicate_invariants` | `seed[9732]` |
| 16 | 37.688 us | `cargo-fuzz` | `predicate_invariants` | `seed[1549]` |
| 17 | 37.687 us | `cargo-fuzz` | `predicate_invariants` | `seed[3034]` |
| 18 | 37.567 us | `cargo-fuzz` | `predicate_invariants` | `seed[763]` |
| 19 | 37.557 us | `cargo-fuzz` | `predicate_invariants` | `seed[1009]` |
| 20 | 37.548 us | `cargo-fuzz` | `predicate_invariants` | `seed[3035]` |
| 21 | 37.498 us | `cargo-fuzz` | `predicate_invariants` | `seed[873]` |
| 22 | 37.447 us | `cargo-fuzz` | `predicate_invariants` | `seed[1673]` |
| 23 | 37.387 us | `cargo-fuzz` | `predicate_invariants` | `seed[919]` |
| 24 | 37.288 us | `cargo-fuzz` | `predicate_invariants` | `seed[978]` |
| 25 | 37.238 us | `cargo-fuzz` | `predicate_invariants` | `seed[1517]` |
| 26 | 37.207 us | `cargo-fuzz` | `predicate_invariants` | `seed[916]` |
| 27 | 37.178 us | `cargo-fuzz` | `predicate_invariants` | `seed[1937]` |
| 28 | 37.177 us | `cargo-fuzz` | `predicate_invariants` | `seed[758]` |
| 29 | 37.027 us | `cargo-fuzz` | `predicate_invariants` | `seed[2286]` |
| 30 | 36.948 us | `cargo-fuzz` | `predicate_invariants` | `seed[999]` |
| 31 | 36.928 us | `cargo-fuzz` | `predicate_invariants` | `seed[9731]` |
| 32 | 36.917 us | `cargo-fuzz` | `predicate_invariants` | `seed[6330]` |
| 33 | 36.907 us | `cargo-fuzz` | `predicate_invariants` | `seed[1956]` |
| 34 | 36.877 us | `cargo-fuzz` | `predicate_invariants` | `seed[1048]` |
| 35 | 36.857 us | `cargo-fuzz` | `predicate_invariants` | `seed[781]` |
| 36 | 36.838 us | `cargo-fuzz` | `predicate_invariants` | `seed[761]` |
